Website,Rating,Review_title,Review_date,Review_text,
Trip Advisor,Excellent,Great Indian Food For a Cause,11 March 2020 ,"This place is swarming with Gadventurers and CEOs and the food is quite good, especially their garlic naan, my favorite.  Almost all their dishes are exceptionally good.  Came here three times and tried different dishes on the menu....never disappointed.",
Trip Advisor,Excellent,Dinner ,11 March 2020 ,Visited about a week ago and we  were very impressed with the food service and gereral ambience of this very clean and slick restaurant. It is well worth a visit if in the area and prices are good. We will be returning soon.,
Trip Advisor,Excellent,Kitchen with a Cause - FANTASTIC ,2 March 2020 ,"I enjoyed a fantastic meal at KWAC thanks to Brikash Sharma our excellent guide while spending sometime in New Delhi recently. We were a table of 15+ South Africans so appreciated the giving back ethos of supporting the under privileged and street people. My meal...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Intrepid Tour experience,25 February 2020 ,"This is a lovely hidden gem in Karol Bagh, walking distance from the metro. The restaurant is beautiful with great food at reasonable prices. The staff is friendly &amp; competent also goes the extra mile if you want to celebrate a birthday or get together....<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great restaurant!,23 February 2020 ,"The restaurant is a social project, so 5 stars just for it. Talking about the restaurant:- Food: wide variety of Indian dishes- Service: super kind and fast- Quality: very good (although some dishes are interpreted in the wrong way, the springs rolls...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Delicious eats,15 February 2020 ,"I really loved this restaurant. I visited twice as part of a Gadventures tour then went back one my own after my tour had finished.  The food on all three occasions was so delicious. I enjoyed the chicken lababdar and the tikka paneer. All of...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Amazing place!,11 February 2020 ,"This is an absolute hidden gem! The place is really well decorated, modern but simple. The food is outstanding, and service is great. The idea behind the restaurant is equally as impressive - to teach young adults the skills to go out into the hospitality...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,"Really good menu, tasty food",27 January 2020 ,"Dear Alicianic1,Thank you for your lovely feedback. We are very happy that your experience here at Kitchen With A Cause was very good. We are trying  our best to make sure the guests have an amazing time and enjoy our delicious meal . Thank...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great choice of dishes in lovely environment ,22 January 2020 ,"Really good menu, tasty food and great service. When staying in Karol Bagh make sure you stop here for a lovely meal.",
Trip Advisor,Excellent,Great food and service,21 January 2020 ,"Dear AlexJ1993,Thank you for your lovely feedback. We are glad you had a great and memorable time here at KWAC !! Hope to see you again someday . Kind regards.KWAC family .",
